,objectId,id,class,z,ra,dec,psMag_u,psMagErr_u,psMag_g,psMagErr_g,psMag_r,psMagErr_r,psMag_i,psMagErr_i,psMag_z,psMagErr_z,spec_plate,spec_mjd,spec_fiberid
0,1456814,1456814,Qso,0.9850075,337.6712,-1.933732,21.20216,0.1076401,21.8678,0.014392398,21.626644,0.013859846,21.381626,0.016382113,20.968088,0.01675272,9149,58039,441
1,1437292,1437292,Qso,1.090239,6.257029,-3.616062,19.3793,0.06181428,19.211994,0.0017447709,18.962337,0.0016041762,19.129435,0.0021682729,19.131557,0.0037009479,7902,57362,648
2,1462778,1462778,Qso,0.9915872,326.1474,-1.722132,21.68033,0.1409075,21.997227,0.020937217,21.663803,0.015245231,21.580736,0.020441543,21.075306,0.036874853,9143,57665,336
3,1431996,1431996,Qso,0.936323,10.41011,2.847951,21.22286,0.09477602,21.110403,0.008538562,21.00542,0.00965491,20.804543,0.009546943,20.575699,0.013348675,7856,57260,790
4,1456393,1456393,Qso,0.926217,338.4039,1.589925,19.40997,0.03063725,19.348778,0.003114201,19.071386,0.0025709383,19.07802,0.003090979,18.946268,0.003881474,9169,58069,978
5,1403051,1403051,Qso,0.980812,32.34387,-0.778086,20.399150000000002,0.01337481,20.60861,0.004815031,20.415426,0.0045518186,20.401237,0.006704336,20.150707,0.008574467,1074,52937,59
6,1431225,1431225,Qso,0.9953744,10.9424,1.067799,20.780640000000002,0.01780117,20.953773,0.007054323,20.763924,0.0057751145,20.764511,0.010024376,20.540619,0.012947084,7856,57260,96
7,1426528,1426528,Qso,1.00952,14.67844,1.588022,,,19.62317,0.0024628295,19.332832,0.0022681432,19.37063,0.0030802551,19.286346,0.003916363,7858,57281,349
8,1429828,1429828,Qso,1.016416,11.95797,-2.685398,22.861620000000002,0.3283876,22.040657,0.012526507,21.250116,0.0069917943,20.80206,0.006999943,20.29897,0.008698382,7871,56902,452
9,1414273,1414273,Qso,1.071265,23.96902,-2.321678,20.99949,0.08222303,20.96508,0.007887579,20.524694,0.0056684497,20.494154,0.007242197,20.471014,0.012952795,7845,56980,500
10,1432222,1432222,Qso,0.9337223,10.24104,-4.742727,20.76938,0.0638725,20.467438,0.0045333547,20.36609,0.004266209,20.432089,0.0057950276,20.283857,0.008277789,7905,57666,628
11,1417758,1417758,Qso,1.006031,21.51151,0.03224163,21.12771,0.02580768,20.51016,0.0046935915,20.20452,0.0043190885,20.134651,0.0052920077,19.95244,0.008219962,8791,57373,460
12,1418431,1418431,Qso,0.9800856,20.99495,-3.679292,21.62468,0.1580176,21.691183,0.011347921,21.49227,0.010422091,21.305876,0.012441041,20.940496,0.016270174,7913,57333,618
13,1424290,1424290,Qso,0.9589942,16.447,1.01632,22.26109,0.07466742,21.064617,0.009465072,20.797054,0.01209203,20.828009,0.012095451,20.344816,0.014167464,7874,57279,547
14,1415344,1415344,Qso,1.005927,23.25567,-2.405988,21.42596,0.16488,21.70824,0.012789097,21.626999,0.012230219,21.333483,0.013102188,20.998917,0.018818207,7846,56984,202
15,1386948,1386948,Qso,1.073,43.56239,-1.366979,20.29689,0.05030275,20.087986,0.0031625899,19.78983,0.0027113787,19.874348,0.0036197663,19.78272,0.0061538797,4341,55538,702
16,1406616,1406616,Qso,1.041625,29.72963,1.081238,21.26087,0.02397087,21.134398,0.007014976,20.87189,0.006268779,20.981401,0.012111551,20.972424,0.020424161,7836,57278,254
17,1401808,1401808,Qso,1.063655,33.24395,-3.810194,21.684440000000002,0.1885871,22.263323,0.02566213,21.791107,0.015197297,21.750637,0.018447692,21.305779,0.024124274,4393,55944,997
18,1462472,1462472,Qso,1.061,326.7232,0.1740587,21.6702,0.0460077,21.386951,0.0089672785,21.114958,0.0077598533,21.150162,0.0112412395,21.021648,0.016933661,5146,55831,399
19,1457189,1457189,Qso,0.9705811,336.887,-1.068401,21.709690000000002,0.04141049,21.328424,0.008130135,21.085587,0.006623984,21.069016,0.009238898,20.821373,0.0124152005,9148,58039,189
